,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
1245,90,1057.1598666666666,17,14,20,6,0.14,0.054,0.238,0.184,897.0635253741284,10.093075630252606,True,1,1057.1598666666666,1060.7060333333334,1,obpres,"(0, 0.5)"
1246,90,1057.1598666666666,18,15,21,6,0.158,0.059,0.252,0.193,885.2401269196326,9.257457964992794,True,1,1057.1598666666666,1060.7060333333334,1,obpres,"(0, 0.5)"
1291,93,1083.2534333333333,19,15,23,8,0.212,0.146,0.275,0.129,1210.7986141693357,12.639288729083443,True,1,1083.2534333333333,1086.8621333333333,2,obpres,"(0, 0.5)"
1292,93,1083.2534333333333,28,23,33,10,0.457,0.406,0.499,0.104,1089.3095978248666,17.076707705902937,True,1,1083.2534333333333,1086.8621333333333,2,obpres,"(0, 0.5)"
1305,94,1095.0658333333333,19,16,25,9,0.203,0.03,0.309,0.279,622.54875271775,6.498664056473686,True,0,1095.0658333333333,1098.6593666666668,3,obpres,"(0, 0.5)"
1396,101,1221.6895333333334,18,15,21,6,0.219,0.13,0.308,0.178,1467.2140071382344,15.34348882714391,True,1,1221.6895333333334,1223.0644,1,obpres,"(0, 0.5)"
1407,102,1227.0801666666666,26,21,32,11,0.448,0.408,0.493,0.085,396.53277668681557,6.452738504412942,True,1,1227.0801666666666,1228.6898333333334,2,obpres,"(0, 0.5)"
1436,104,1264.8299,17,14,22,8,0.174,0.041,0.252,0.211,832.7613973261655,9.369597054637126,True,0,1264.8299,1265.8146,3,obpres,"(0, 0.5)"
1469,106,1411.5946,22,18,26,8,0.091,0.024,0.159,0.135,554.4798706378277,7.2766618989854095,True,1,1411.5946,1412.9855666666667,1,obpres,"(0, 0.5)"
1470,106,1411.5946,23,19,27,8,0.076,0.001,0.162,0.161,545.902962787638,7.85151591380661,True,1,1411.5946,1412.9855666666667,1,obpres,"(0, 0.5)"
1544,111,1484.1566666666668,26,22,33,11,0.186,0.126,0.228,0.102,374.13797533104037,6.0883101254665455,True,0,1484.1566666666668,1485.6101,1,obpres,"(0, 0.5)"
1634,118,1579.1560666666667,19,14,24,10,0.046,0.0,0.101,0.112,1553.0868194380143,16.21236802098422,True,1,1579.1560666666667,1581.0783,2,obpres,"(0, 0.5)"
